season,player_id,name,position,team,games,points,ppg,attempts,completions,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,rushing_first_downs,targets,receptions,receiving_yards,receiving_tds,receiving_first_downs
2024,00-0032434,Brandon Allen,QB,SF,3,0.11,0.04,30,17,199,1,2,3,4,0,0,0,0,0,0,0
2024,00-0032464,Kalif Raymond,WR,DET,12,56.45,4.7,0,0,0,0,0,2,0,0,1,22,17,215,2,10
2024,00-0032543,Alex Erickson,WR,NE,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,00-0032688,Robbie Chosen,WR,MIA,1,1.0,1.0,0,0,0,0,0,0,0,0,0,4,1,5,0,0
2024,00-0032764,Derrick Henry,RB,BAL,17,392.15,23.07,0,0,0,0,0,325,1921,16,94,22,19,193,2,11
2024,00-0032775,Demarcus Robinson,WR,LA,17,121.25,7.13,0,0,0,0,0,0,0,0,0,64,31,505,7,27
2024,00-0032950,Carson Wentz,QB,KC,2,0.47,0.24,19,12,118,0,0,3,0,0,0,0,0,0,0,0
2024,00-0033009,Tyler Boyd,WR,TEN,15,69.4,4.63,1,0,0,0,0,1,3,0,1,57,39,390,0,20
2024,00-0033040,Tyreek Hill,WR,MIA,17,198.0,11.65,0,0,0,0,0,8,53,0,2,122,81,959,6,54
2024,00-0033045,Ezekiel Elliott,RB,DAL,15,63.65,4.24,0,0,0,0,0,74,226,3,14,15,12,69,0,3
2024,00-0033077,Dak Prescott,QB,DAL,8,97.82,12.23,286,185,1978,11,8,13,54,1,5,0,0,0,0,0
2024,00-0033090,Hunter Henry,TE,NE,16,126.9,7.93,0,0,0,0,0,0,0,0,0,97,66,674,2,40
2024,00-0033106,Jared Goff,QB,DET,17,336.21,19.78,539,390,4629,37,12,35,56,0,9,1,1,7,1,1
2024,00-0033110,Tyler Higbee,TE,LA,3,23.85,7.95,0,0,0,0,0,0,0,0,0,12,8,66,2,5
2024,00-0033119,Jacoby Brissett,QB,NE,7,26.49,3.78,161,95,826,2,1,15,62,0,5,0,0,0,0,0
2024,00-0033217,Mo Alie-Cox,TE,IND,12,28.45,2.37,0,0,0,0,0,0,0,0,0,22,12,147,1,7
