player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
4862,D'Andre Swift,RB,CHI,42.4,3.14,94,30,54,4.4,10
6194,Rome Odunze,WR,CHI,44.4,4.02,118,33,60,4.2,10
5656,Trey McBride,TE,ARI,45.0,4.03,303,21,61,8.9,14
6190,Bucky Irving,RB,TB,45.4,4.03,115,33,58,4.9,10
6281,Ladd McConkey,WR,LAC,45.7,4.04,419,32,63,5.0,7
6187,Drake Maye,QB,NE,46.1,4.04,77,29,61,7.9,11
6178,Brock Bowers,TE,LV,46.3,4.04,474,19,65,10.3,13
5641,Alec Pierce,WR,IND,47.8,4.06,36,37,62,5.1,13
6531,Quinshon Judkins,RB,CLE,47.8,4.06,193,32,62,5.9,11
2876,DJ Moore,WR,BUF,48.5,4.06,225,34,67,5.6,7
2888,Lamar Jackson,QB,BAL,49.2,4.07,109,24,66,9.6,13
6513,Bhayshul Tuten,RB,JAX,51.5,4.09,176,37,63,5.2,7
5178,Jaylen Waddle,WR,DEN,51.8,4.10,304,34,70,6.7,10
2862,Courtland Sutton,WR,DEN,52.5,4.10,56,40,70,6.0,10
6559,Luther Burden III,WR,CHI,54.7,4.13,206,41,74,6.7,10
6490,TreVeyon Henderson,RB,NE,57.2,5.01,156,40,70,6.3,11
2111,Mike Evans,WR,SF,57.9,5.02,198,42,73,5.8,8
4882,Joe Burrow,QB,CIN,58.6,5.03,102,42,71,6.2,6
6776,Jadarian Price,RB,SEA,59.1,5.03,188,40,75,7.2,11
6193,Marvin Harrison Jr.,WR,ARI,62.1,5.06,139,45,80,7.0,14
3239,DK Metcalf,WR,PIT,63.1,5.07,140,45,79,6.8,9
5095,Rico Dowdle,RB,PIT,64.2,5.08,41,48,75,5.9,9
3238,David Montgomery,RB,HOU,64.5,5.08,309,45,80,7.1,8
5360,Christian Watson,WR,GB,64.5,5.09,377,47,80,6.5,11
3435,Tony Pollard,RB,TEN,66.2,5.10,56,49,81,6.4,9
6501,Colston Loveland,TE,CHI,67.5,5.12,204,47,83,7.7,10
2377,Dak Prescott,QB,DAL,67.6,5.12,61,58,79,6.1,14
5648,Brock Purdy,QB,SF,68.2,5.12,16,54,87,9.6,8
5854,Jayden Daniels,QB,WAS,68.4,5.12,62,55,89,8.1,7
5705,Parker Washington,WR,JAX,68.7,5.13,257,53,84,6.1,7
6175,Brian Thomas Jr.,WR,JAX,69.4,5.13,288,52,87,6.8,7
6504,Tyler Warren,TE,IND,72.4,6.02,200,40,93,12.3,13
5210,Rhamondre Stevenson,RB,NE,73.3,6.03,96,58,85,5.8,11
5025,Jalen Hurts,QB,PHI,73.9,6.04,121,53,94,7.8,10
6768,Carnell Tate,WR,TEN,75.7,6.06,190,57,91,7.1,9
3496,Jakobi Meyers,WR,JAX,77.5,6.08,64,64,91,5.0,7
5443,Jaylen Warren,RB,PIT,78.1,6.08,70,61,91,6.6,9
4873,Chuba Hubbard,RB,CAR,78.2,6.08,85,58,94,7.7,5
5588,Wan'Dale Robinson,WR,TEN,78.6,6.09,85,63,92,6.0,9
1664,Matthew Stafford,QB,LAR,79.6,6.10,103,56,107,10.4,11
4880,Michael Pittman Jr.,WR,PIT,80.6,6.11,143,62,95,7.1,9
5674,Quentin Johnston,WR,LAC,80.7,6.11,147,62,93,7.1,7
