key,name,position,team,adp,raw_200,aav_200,market,source,status,out
michael pittman,Michael Pittman Jr.,WR,PIT,80.9,8.819999999999999,6.602006157614926,8,curve,,False
kyle pitts,Kyle Pitts Sr.,TE,ATL,82.7,8.459999999999999,6.306520399017196,8,curve,,False
harold fannin,Harold Fannin Jr.,TE,CLE,82.9,8.419999999999998,6.27381846091087,8,curve,,False
chuba hubbard,Chuba Hubbard,RB,CAR,84.2,8.16,6.061904747582752,7,curve,,False
jakobi meyers,Jakobi Meyers,WR,JAX,85.5,7.9,5.851140773835742,7,curve,,False
jordan addison,Jordan Addison,WR,MIN,86.8,7.640000000000001,5.641563287196644,7,curve,,False
quentin johnston,Quentin Johnston,WR,LAC,87.7,7.459999999999999,5.497186822850981,7,curve,,False
jayden reed,Jayden Reed,WR,GB,89.1,7.1800000000000015,5.2738019158881935,6,curve,,False
brock purdy,Brock Purdy,QB,SF,89.3,7.140000000000001,5.242011798147311,6,curve,,False
josh downs,Josh Downs,WR,IND,89.9,7.019999999999999,5.146828174824665,6,curve,,False
caleb williams,Caleb Williams,QB,CHI,92.0,6.6,4.815952969695104,6,curve,,False
denver defense,Denver Defense,DEF,DEN,92.1,6.580000000000001,4.800287411389578,6,curve,,False
jonathon brooks,Jonathon Brooks,RB,CAR,92.2,6.559999999999999,4.784630261196856,6,curve,,False
trevor lawrence,Trevor Lawrence,QB,JAX,92.8,6.44,4.690865382168796,6,curve,,False
wandale robinson,Wan'Dale Robinson,WR,TEN,93.4,6.3199999999999985,4.597409824825068,6,curve,,False
stefon diggs,Stefon Diggs,WR,WAS,95.8,5.84,4.226803165202135,5,curve,,False
tucker kraft,Tucker Kraft,TE,GB,95.8,5.84,4.226803165202135,5,curve,,False
